key,type,fullname,basekey,text
_ambient;ambient,real,Ambient Intensity,_ambient;ambient,
_blocksize,integer,Block Size,_blocksize,
_color,color,Light Color,_color,
_color_worldspawn,color,Ambient Color,_color,
angle,angle,Yaw Angle,angle,Determines a facing angle.
angle_func,direction,Direction,angle,"Determines the movement direction. Among the values it can take:
* -1: the entity moves up.
* -2: the entity moves down."
angles,angles,Pitch Yaw Roll,angles,"Individual control of pitch, yaw and roll."
angles_two,angles,Pitch Yaw,angles,Individual control of pitch and yaw.. Allows rotation in directions different from roll.
color,color,Model Light Color,color,constantLight color of the md3 model included with the entity. It doesn't affect entity brushes.
count,integer,Ammo Given,count,Amount of ammo given to the player on pickup.
count_item_powerup,real,Powerup Duration,count,Amount of game seconds of duration of this powerup.
count_target_location,integer,Text Color,count,"If set between 0-7, the location will be displayed with one of eight colors:
- 0: white
- 1: red
- 2: green
- 3: yellow
- 4: blue
- 5: cyan
- 6: magenta
- 7: white"
count_target_score,integer,Frags Given,count,Number of points to add.
delay,real,Delay,delay,
dmg,integer,Damage Inflicted,dmg,Damage to inflict when blocking the operation of the entity.
gametype1,string,Supported Game Types,gametype,"If set, the entity will ONLY appear in these gametypes. (See Notes)"
gametype2,string,Forbidden Game Types,!gametype,"If set, the entity will NOT appear in these gametypes. (See Notes)"
gravity,real,Gravity,gravity,
gridsize,integer3,Grid Size,gridsize,
health,real,Activate on Damage,health,"If set, in order to activate, the entity must take damage instead of being touched."
height,real,Vertical Travel,height,"Total height of movement, defaults to model height."
height_func_bobbing,real,Vertical Travel,height,Amount of travel of the oscillation movement.
light,real,Model Light Intensity,light,constantLight radius of the model included with the entity. It doesn't affect entity brushes.
light;_light,real,Light Intensity,light;_light,
lip,real,Lip,lip,Protrusion above rest position after the end of the movement.
message,string,Message to Display,message,Text to display.
message_domination_point,string,Point Name,message,Gives the point a name which is displayed in-game. (MAX length: 19 chars)
message_target_location,string,Location Name,message,Name of the location.
message_worldspawn,string,Logon Message,message,
model2,model,Model File,model2,.md3 model to draw.
music,sound,Music File,music,
noise,sound,Sound File,noise,Wav file to play. Recommended use is for looping sounds.
notbot,boolean,Invisible To Bots,notbot,"If set to 1, a bot will never attempt to pick up this item."
notbot_info_player,boolean,No Bots,notbot,Prevents bots from using this spot as a spawnpoint.
notfree,boolean,Hidden for FFA,notfree,"If set to 1, this entity won't spawn in free-for-all gamemodes."
nothumans,boolean,Not Humans,nothumans,Prevents humans from using this spot as a spawnpoint.
notsingle,boolean,Hidden for SP,notsingle,"If set to 1, this entity won't spawn in single-player mode."
notteam,boolean,Hidden for Teamplay,notteam,"If set to 1, this entity won't spawn in team-based gamemodes."
origin,real3,World Origin,origin,Alternate method of setting the entity's origin point. Use it if you don't use an origin brush in the entity. (See notes)
phase_func_bobbing,real,Bob Cycle Phase,phase,"Start offset of the oscillation cycle. Values are located in the range (0,1); any integer value different to 1 equals to no offset."
phase_func_pendulum,real,Swing Phase,phase,"Start offset of the swinging cycle. Values are located in the range (0,1); any integer value different to 1 equals to no offset."
radius,real,Spotlight Radius,radius,Radius of a spotlight at the target point.
random,real,Respawn Delay Variance,random,"Variation of time between respawns. The value is both added and subtracted from \""wait\""."
random_func_timer,real,Time Period Variance,random,"Wait variance. The time between firing is located in the range [wait - random,wait + random]."
random_shooter,real,Angle Variance,random,Number of degrees of deviance from the target.
random_target_delay,real,Delay Variance,random,"Delay variance, total delay = delay +/- random seconds."
random_target_speaker,real,Repeat Time Variance,random,"Wait variance. The time between firing is located in the range [wait - random,wait + random]."
range,real,Range,range,
roll,real,Roll,roll,Angle modifier to orient the camera around the target vector.
scale,real,Scale,scale,Scaling factor. Recommended values sit between 50 and 300.
speed,real,Move Speed,speed,Speed of entity movement.
speed_func_bobbing,real,Bob Cycle Time,speed,Seconds to complete a bob cycle.
speed_func_pendulum,real,Max Swing Angle,speed,Number of degrees each way the pendulum swings.
speed_func_rotating,real,Rotation Speed,speed,Determines how fast it moves.
speed_path_corner,real,Move Speed,speed,Speed to move to the next corner.
speed_target_push,real,Push Speed,speed,
target,target,Target,target,All entities with a matching targetname will be used.
target__decal,target,Target,target,The entity which is targetted at for projection.
target_func_timer,target,Target,target,
target_func_train,target,Target,target,Next path corner.
target_item,target,Target,target,Picking up the item will trigger these targets.
target_misc_portal_camera,target,Target,target,
target_misc_portal_surface,target,Target,target,
target_path_corner,target,Target,target,Next path corner and other targets to fire.
target_shooter,target,Target,target,
targetname,targetname,Target Name,targetname,
targetname_func_door,targetname,Target Name,targetname,"If set, the door needs to be operated by a func_button or trigger."
targetname_func_plat,targetname,Target Name,targetname,
targetname_func_timer,targetname,Target Name,targetname,
targetname_info_notnull,targetname,Target Name,targetname,
targetname_item,targetname,Target Name,targetname,A target_give entity can point at this item so its given to the player.
targetShaderName,string,Target Shader Name,targetShaderName,Shader to be swapped out for triggerable shader entities. (See Notes)
targetShaderNewName,string,Target Shader New Name,targetShaderNewName,Shader to be swapped in for triggerable shader entities. (See Notes)
team,string,Team Name,team,"If set, the entity is teamed up with items in this team. (See Notes)"
team_func_door,string,Team Name,team,Separate func_door entities within this team will operate together.
wait,real,Respawn Delay,wait,"Seconds before the item respawns again.
-1 = never respawns again."
wait_func,real,Return Delay,wait,"Seconds between triggerings.
* -1 = never returns."
wait_func_door,real,Return Delay,wait,"Seconds before the door returns to its default state.
* -1 = returns immediately."
wait_func_timer,real,Time Period,wait,Base time between triggering all targets.
wait_path_corner,real,Corner Delay,wait,Seconds to wait before behining move to next corner.
wait_target_delay,real,Delay,wait,Seconds to pause before firing targets.
wait_target_speaker,real,Repeat Time,wait,"Seconds between auto triggerings.
* 0 = doesn't auto trigger."
weight,real,Weight,weight,
_indexmap;alphamap,texture,Terrain Blending Map,_indexmap;alphamap,Path of the art file used to guide the mapping of textures on the terrain surface.
_layers;layers,integer,Terrain Layers,_layers;layers,Number of unique root shaders that will be used on the terrain surface.
_shader;shader,texture,Terrain MetaShader,_shader;shader,Metashader used to assign textures to the terrain entity.
_anglescale,real,Lightmap Angle Scale,_anglescale,"Light attenuation scaling. Lower values lessens angle attenuation, while higher values give sharper, more faceted lighting."
_castshadows;_cs,integer,Shadow Caster Level,_castshadows;_cs,"Per-entity control over shadow casting. The values it can take are:
* < -1: Cast shadows on entities with _rs or _receiveshadows but NOT in the world.
* -1: Doesn't cast shadows on the world.
* 0: Casts shadows on entities. (Default)
* 1: Casts shadows on the world. (Also default)
* > 1: Casts shadows on entities with _rs or _receiveshadows AND in the world."
_celshader,texture,Cel Shader,_celshader,Cel shader used for this geometry.
_deviance,real,Light Deviation,_deviance,Distance in world units for spotlights and targetted lights. Also the degree for sunlights. (Recommended values between 0.5 and 3)
_farplanedist,real,Far Clip Distance,_farplanedist,
_filter,integer,Lightmap Filtering,_filter,"If set to 1, toggles on lightmap filtering."
_filterradius,integer,Lightmap Filtering Radius,_filterradius,Lightmaps within this amount of world units will be filtered.
_foghull,texture,Fog Hull Shader,_foghull,
_keeplights,boolean,Keep Light Entities,_keeplights,
