item,ACTIVATOR,AUTOCLIP,AUTOLIGHTMAP,BLOCK_STOPS,BLUE_ONLY,BLUE_TEAM_ITEM,BLUE_TEAM_TARGET,BOUNCE_PAD,CASTSHADOWS,CRUSHER,FAST_ROTATE,GLOBAL,INITIAL,LINEAR,LOOPED_OFF,LOOPED_ON,NO_ANGLE,NO_GRID_LIGHT,NO_GRID_LIGHTJUNIOR,NO_PROTECTION,NO_SWING,PRIVATE,RANDOM,RED_ONLY,RED_TEAM_ITEM,RED_TEAM_TARGET,SILENT,SLOW,SLOW_ROTATE,SPECTATOR,START_OFF,START_ON,START_OPEN,SUSPENDED,TOGGLE,X_AXIS_FUNC_BOBBING,X_AXIS_FUNC_ROTATING,Y_AXIS_FUNC_BOBBING,Y_AXIS_FUNC_ROTATING
_decal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_skybox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ammo_belt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ammo_bfg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ammo_bullets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ammo_cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ammo_grenades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ammo_lightning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ammo_mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ammo_nails,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ammo_rockets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ammo_shells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
ammo_slugs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
domination_point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
func_bobbing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
func_button,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
func_door,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
func_group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
func_pendulum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
func_plat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
func_rotating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,2,,3
func_static,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
func_timer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
func_train,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,,,,
holdable_invulnerability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
holdable_kamikaze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
holdable_medkit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
holdable_portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
holdable_teleporter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
info_camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
info_notnull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
info_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
info_player_dd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
info_player_dd_blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
info_player_dd_red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
info_player_dom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
info_player_dom_blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
info_player_dom_red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
info_player_deathmatch,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
info_player_intermission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
info_player_start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item_ammoregen,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,,,,,
item_armor_body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
item_armor_combat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
item_armor_shard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
item_botroam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
item_doubler,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,,,,,
item_enviro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
item_flight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
item_guard,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,,,,,
item_haste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
item_health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
item_health_large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
item_health_mega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
item_health_small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
item_invis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
item_quad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
item_regen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
item_scout,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,,,,,
light,,,,,,,,,,,,,,0,,,1,4,,,,,,,,,,,,,,,,,,,,,
lightJunior,,,,,,,,,,,,,,0,,,1,,4,,,,,,,,,,,,,,,,,,,,
misc_model,,1,2,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
misc_portal_camera,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,0,,,,,,,,,,
misc_portal_surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
misc_teleporter_dest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
path_corner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shooter_grenade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shooter_plasma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shooter_rocket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
